Collecton Name,Request Name,Method,Url,Status,Code,Response Time,Reponse Size,Executed,Failed,Skippped,Total Assertions,Executed Count,Failed Count,Skipped Count,Response Body
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,1354,279,test something,,,1,1,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,1161,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,287,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,285,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,393,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,367,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,318,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,554,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,343,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,377,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,324,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,365,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,538,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,777,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,372,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,320,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,284,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,992,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,453,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,321,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,687,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,1162,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,444,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,1033,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,729,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,388,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,388,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,314,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,320,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,340,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,1018,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,789,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,805,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,366,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,300,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,328,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,327,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,348,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,1028,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,370,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,706,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,1136,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,330,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,346,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,1194,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,1125,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,708,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,1033,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,373,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,385,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"